intron_group	seqnames	start	end	width	strand	gene_name	gene_id	SpliceLeft	SpliceRight	SpliceMax	intronicCount	SIRratio
121616	10	44902	44951	50	+	AL713922.1	ENSG00000237297	0	0	0	0	0
121617	10	45205	45308	104	+	AL713922.1	ENSG00000237297	0	0	0	0	0
121618	10	45406	45833	428	+	AL713922.1	ENSG00000237297	0	0	0	0	0
121619	10	45883	46244	362	+	AL713922.1	ENSG00000237297	0	0	0	0	0
121620	10	46360	46841	482	+	AL713922.1	ENSG00000237297	0	0	0	0	0
121621	10	135560	179993	44434	+	ZMYND11	ENSG00000015171	35	33	35	332	0.0291034920970264
121622	10	180129	197910	17782	+	ZMYND11	ENSG00000015171	0	0	0	9	0.00212680995090062
121623	10	198006	209888	11883	+	ZMYND11	ENSG00000015171	0	0	0	0	0
121624	10	210049	218454	8406	+	ZMYND11	ENSG00000015171	0	0	0	2	0.000985734126083958
121625	10	218500	221194	2695	+	ZMYND11	ENSG00000015171	1	28	28	1	0.00149748332083221
121626	10	221357	236837	15481	+	ZMYND11	ENSG00000015171	33	47	47	12	0.00301915523568725
121627	10	236916	237584	669	+	ZMYND11	ENSG00000015171	67	64	67	9	0.0418619730755082
121628	10	237678	239437	1760	+	ZMYND11	ENSG00000015171	61	63	63	7	0.0145359968673286
121629	10	239526	240055	530	+	ZMYND11	ENSG00000015171	39	38	39	12	0.0735330811835824
121630	10	240112	240892	781	+	ZMYND11	ENSG00000015171	45	46	46	2	0.00866936190447625
121631	10	240971	242020	1050	+	ZMYND11	ENSG00000015171	24	24	24	9	0.0302024925732038
121632	10	244601	246765	2165	+	ZMYND11	ENSG00000015171	0	0	0	26	0.0503307553534542
121633	10	246974	247397	424	+	ZMYND11	ENSG00000015171	42	42	42	3	0.0256716690786294
121634	10	247467	248335	869	+	ZMYND11	ENSG00000015171	51	51	51	2	0.00859591860000252
121635	10	248609	248902	294	+	ZMYND11	ENSG00000015171	50	50	50	0	0
121636	10	249089	252347	3259	+	ZMYND11	ENSG00000015171	71	71	71	20	0.0218465501144728
121637	10	437916	440967	3052	+	AL669841.1	ENSG00000233021	0	0	0	2	1
121638	10	628898	629858	961	+	AL358216.1	ENSG00000225140	0	0	0	0	0
121639	10	650179	650290	112	+	PRR26	ENSG00000180525	0	0	0	0	0
121640	10	650443	650787	345	+	PRR26	ENSG00000180525	0	0	0	0	0
121641	10	662119	662790	672	+	PRR26	ENSG00000180525	0	0	0	0	0
121642	10	663703	665955	2253	+	PRR26	ENSG00000180525	0	0	0	0	0
121643	10	666104	666217	114	+	PRR26	ENSG00000180525	0	0	0	0	0
121644	10	744034	744576	543	+	AL157709.1	ENSG00000231601	0	0	0	0	0
121645	10	933116	942186	9071	+	AL359878.2	ENSG00000229869	1	1	1	9	0.111854253830172
121646	10	942240	942479	240	+	AL359878.2	ENSG00000229869	0	0	0	0	0
121647	10	988949	992488	3540	+	GTPBP4	ENSG00000107937	0	0	0	28	0.00438291588300694
121648	10	992660	995928	3269	+	GTPBP4	ENSG00000107937	285	286	286	92	0.0149531083720314
121649	10	996033	996105	73	+	GTPBP4	ENSG00000107937	259	260	260	3	0.0108190934471237
121650	10	996243	997207	965	+	GTPBP4	ENSG00000107937	402	402	402	78	0.0373913798300392
121651	10	997309	999002	1694	+	GTPBP4	ENSG00000107937	501	501	501	18	0.00526548289785128
121652	10	999096	1000676	1581	+	GTPBP4	ENSG00000107937	416	415	416	33	0.0105442953432154
