read_name	qwidth	chr	start	end	strand	gene_id	intron_chr	intron_start	intron_end	intron_strand	intron_fracoverlap	intron_startOverlap	intron_endOverlap
70f63121-51e1-4298-9d88-77ea7475f02a	1549	chr10	53100	54658	-	ENSG00000261456	chr10	50234	73968	-	0.0656835896355593	FALSE	FALSE
3e8148dd-07bd-41e6-869d-6d72f25dce31	2369	chr10	134984	249480	+	ENSG00000015171	chr10	134893	135068	+	0.482954545454546	FALSE	TRUE
3e8148dd-07bd-41e6-869d-6d72f25dce31	2369	chr10	134984	249480	+	ENSG00000015171	chr10	249262	252347	+	0.0709656513285807	TRUE	FALSE
ae91867e-5ac5-44a2-a073-39872b222fbf	4156	chr10	135000	254597	+	ENSG00000015171	chr10	134893	135068	+	0.392045454545455	FALSE	TRUE
16a01713-2f2a-4c04-bdfc-835a17119fb8	2323	chr10	135000	252620	+	ENSG00000015171	chr10	134893	135068	+	0.392045454545455	FALSE	TRUE
6bddd9ac-bd37-4b34-8f6c-23a9eff26824	2055	chr10	135003	249231	+	ENSG00000015171	chr10	134893	135068	+	0.375	FALSE	TRUE
f4f1a526-9a58-471a-820e-7bd7e74f9ad9	4326	chr10	135054	254630	+	ENSG00000015171	chr10	134893	135068	+	0.0852272727272727	FALSE	TRUE
b5de3e57-141a-44aa-9e92-4676b846164e	4068	chr10	135445	254583	+	ENSG00000015171	chr10	135303	135483	+	0.215469613259669	FALSE	TRUE
863b1508-e201-462d-9639-63879c02084d	4112	chr10	135454	254620	+	ENSG00000015171	chr10	135303	135483	+	0.165745856353591	FALSE	FALSE
3c5989a5-812f-48d1-92ec-ac329db66d77	4202	chr10	135465	254631	+	ENSG00000015171	chr10	135303	135483	+	0.104972375690608	FALSE	FALSE
361076ec-edbd-4ad6-9f58-7fbe2d725faa	4187	chr10	135466	254630	+	ENSG00000015171	chr10	135303	135483	+	0.0994475138121547	FALSE	FALSE
57d0041c-ed10-455c-8e2a-810fdf1e652a	2348	chr10	135466	249794	+	ENSG00000015171	chr10	249262	252347	+	0.172715489306546	FALSE	FALSE
57d0041c-ed10-455c-8e2a-810fdf1e652a	2348	chr10	135466	249794	+	ENSG00000015171	chr10	135303	135483	+	0.0994475138121547	FALSE	FALSE
3049e328-c153-40a8-b793-ef85fab4340a	4049	chr10	135470	254582	+	ENSG00000015171	chr10	135303	135483	+	0.0773480662983425	FALSE	FALSE
acc2d8a5-5783-47b7-ab4e-b5cd06d179d5	4183	chr10	135478	254621	+	ENSG00000015171	chr10	135303	135483	+	0.0331491712707182	FALSE	FALSE
8c1f3d5b-3ddd-47c5-b152-a8641062fbaa	2166	chr10	151237	153341	+	ENSG00000015171	chr10	135560	179989	+	0.0473778978167905	FALSE	FALSE
c6e3f89b-38af-4bb1-96ba-c2ea5c1ccc33	752	chr10	152670	153332	+	ENSG00000015171	chr10	135560	179989	+	0.0149223497636732	FALSE	FALSE
30f1ab64-d05b-4221-aae0-d81f83f74dd0	439	chr10	164669	165001	+	ENSG00000015171	chr10	135560	179989	+	0.0074949358541526	FALSE	FALSE
7bc9a5ad-02b5-4934-a9b4-a9c03a2cf3b0	5278	chr10	179992	254604	+	ENSG00000015171	chr10	236916	237584	+	1	FALSE	FALSE
7bc9a5ad-02b5-4934-a9b4-a9c03a2cf3b0	5278	chr10	179992	254604	+	ENSG00000015171	chr10	239526	240055	+	1	FALSE	FALSE
